,IATA_CODE,AIRPORT,CITY,LATITUDE,LONGITUDE,IATA_CODE,YEAR
,,,,,,len,len
,,,,,,,
242,PLN,Pellston Regional Airport of Emmet County,Pellston,45.57093,-84.79672,753,753
243,PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,30.473309999999998,-87.18744000000001,6534,6534
244,PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,14.33102,-170.71053,107,107
245,PSC,Tri-Cities Airport,Pasco,46.26468,-119.11903000000001,2433,2433
246,PSE,Mercedita Airport,Ponce,18.0083,-66.56300999999999,749,749
247,PSG,Petersburg James A. Johnson Airport,Petersburg,56.80165,-132.94528,664,664
248,PSP,Palm Springs International Airport,Palm Springs,33.82922,-116.50625,8987,8987
249,PUB,Pueblo Memorial Airport,Pueblo,38.28909,-104.49656999999999,264,264
250,PVD,Theodore Francis Green State Airport,Providence,41.724,-71.42822,11058,11058
251,PWM,Portland International Jetport,Portland,43.64617,-70.30875,4681,4681
252,RAP,Rapid City Regional Airport,Rapid City,44.045320000000004,-103.05736999999999,3265,3265
253,RDD,Redding Municipal Airport,Redding,40.50898,-122.2934,727,727
254,RDM,Redmond Municipal Airport (Roberts Field),Redmond,44.25407,-121.14996000000001,2152,2152
255,RDU,Raleigh-Durham International Airport,Raleigh,35.87764,-78.78747,31896,31896
256,RHI,Rhinelander-Oneida County Airport,Rhinelander,45.631190000000004,-89.46745,954,954
257,RIC,Richmond International Airport,Richmond,37.50517,-77.31967,15355,15355
258,RKS,Rock Springs-Sweetwater County Airport,Rock Springs,41.59422,-109.06518999999999,690,690
259,RNO,Reno/Tahoe International Airport,Reno,39.49858,-119.76806,13011,13011
260,ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,37.32547,-79.97543,2282,2282
261,ROC,Greater Rochester International Airport,Rochester,43.11887,-77.67238,7448,7448
262,ROW,Roswell International Air Center,Roswell,33.301559999999995,-104.53056,974,974
263,RST,Rochester International Airport,Rochester,43.90883,-92.49799,2054,2054
264,RSW,Southwest Florida International Airport,Ft. Myers,26.536170000000002,-81.75516999999999,27350,27350
265,SAF,Santa Fe Municipal Airport,Santa Fe,35.61678,-106.08814,1504,1504
266,SAN,San Diego International Airport (Lindbergh Field),San Diego,32.73356,-117.18966,70207,70207
267,SAT,San Antonio International Airport,San Antonio,29.533690000000004,-98.46978,29788,29788
268,SAV,Savannah/Hilton Head International Airport,Savannah,32.12758,-81.20214,7542,7542
269,SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,34.42621,-119.84037,6017,6017
270,SBN,South Bend International Airport (South Bend Regional),South Bend,41.70895,-86.31846999999999,4454,4454
271,SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,35.23706,-120.64238999999999,3133,3133
272,SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,70.19476,-148.46516,855,855
273,SCE,University Park Airport,State College,40.851209999999995,-77.8463,911,911
274,SDF,Louisville International Airport (Standiford Field),Louisville,38.17439,-85.736,10204,10204
275,SEA,Seattle-Tacoma International Airport,Seattle,47.44898,-122.30931000000001,110899,110899
276,SFO,San Francisco International Airport,San Francisco,37.619,-122.37483999999999,148008,148008
277,SGF,Springfield-Branson National Airport,Springfield,37.24433,-93.38686,6236,6236
278,SGU,St. George Regional Airport,St George,37.090579999999996,-113.59306000000001,1777,1777
279,SHV,Shreveport Regional Airport,Shreveport,32.44663,-93.8256,6099,6099
280,SIT,Sitka Rocky Gutierrez Airport,Sitka,57.04714,-135.3616,1342,1342
281,SJC,Norman Y. Mineta San José International Airport,San Jose,37.36186,-121.92901,38200,38200
282,SJT,San Angelo Regional Airport (Mathis Field),San Angelo,31.35775,-100.49631,1628,1628
283,SJU,Luis Muñoz Marín International Airport,San Juan,18.439420000000002,-66.00183,24656,24656
284,SLC,Salt Lake City International Airport,Salt Lake City,40.78839,-111.97776999999999,97210,97210
285,SMF,Sacramento International Airport,Sacramento,38.69542,-121.59076999999999,37212,37212
286,SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,34.89925,-120.45758000000001,664,664
287,SNA,John Wayne Airport (Orange County Airport),Santa Ana,33.67566,-117.86822,37187,37187
288,SPI,Abraham Lincoln Capital Airport,Springfield,39.84395,-89.67761999999999,1587,1587
289,SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,33.9888,-98.49189,1234,1234
